R_version	name	version	date_time	hash	binary_location	status
4.2.3	viridisLite	0.4.1	2023-05-10T00:22:11Z	d409a7acdff650fdeb82ef3f720a48e4	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/viridisLite/0.4.1/d409a7acdff650fdeb82ef3f720a48e4/viridisLite	available
4.2.3	vroom	1.6.1	2023-04-16T23:55:37Z	9c1fbfc5d02bd212a4b838e630cab922	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/vroom/1.6.1/9c1fbfc5d02bd212a4b838e630cab922/vroom	available
4.2.3	waldo	0.4.0	2023-04-16T23:55:40Z	ae8ba192f6f2138661c12e72613090fd	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/waldo/0.4.0/ae8ba192f6f2138661c12e72613090fd/waldo	available
4.2.3	whisker	0.4.1	2023-04-16T23:55:41Z	cf3617c6df6f8ef7765b05bb34a89347	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/whisker/0.4.1/cf3617c6df6f8ef7765b05bb34a89347/whisker	available
4.2.3	withr	2.5.0	2023-04-16T23:55:43Z	9725ae76c8a39259f0fa1bcaa0a111ee	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/withr/2.5.0/9725ae76c8a39259f0fa1bcaa0a111ee/withr	available
4.2.3	xfun	0.38	2023-04-16T23:55:44Z	2a6cc8264e939550e2036f99f6df70da	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/xfun/0.38/2a6cc8264e939550e2036f99f6df70da/xfun	available
4.2.3	xml2	1.3.3	2023-04-16T23:55:45Z	0e286648ce228f5ff57db594cced2f9c	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/xml2/1.3.3/0e286648ce228f5ff57db594cced2f9c/xml2	available
4.2.3	xopen	1.0.0	2023-04-16T23:55:47Z	3c7829fee988ad883e1cc5cc6ba81de2	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/xopen/1.0.0/3c7829fee988ad883e1cc5cc6ba81de2/xopen	available
4.2.3	xtable	1.8.4	2023-04-16T23:55:48Z	50522aa674c4416bd78b1f7f85c84fb5	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/xtable/1.8-4/50522aa674c4416bd78b1f7f85c84fb5/xtable	available
4.2.3	yaml	2.3.7	2023-04-16T23:55:49Z	b0f404f5bb3e432611e75cd12a9f3bad	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/yaml/2.3.7/b0f404f5bb3e432611e75cd12a9f3bad/yaml	available
4.2.3	zip	2.2.2	2023-04-16T23:55:50Z	669ad8e4f63e9778da53e8bf35fb2fe2	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/zip/2.2.2/669ad8e4f63e9778da53e8bf35fb2fe2/zip	available
